,X,x0,dx,maxslope,range.10.90,Snake,Muscle,Species,Genotype,MAMU,Long,Lat,SVLmm,MusMassg,BodMassg,Sex,DtExp,DtColl,DInBet
1,CRF2630_M1,1.67E-30,2140.260122,-1.17E-05,Inf,CRF2630,M1,couchii,T,100,-119.247356,36.934489,NA,71,6.8,,15-Dec-15,6-Apr-15,253
2,CRF2631_M1,0.033286656,-50878.7846,4.91E-07,Inf,CRF2631,M1,couchii,T,175,-119.247356,36.934489,NA,80.6,22.8,,17-Dec-15,6-Apr-15,255
3,CRF2633_M1,9.43E-31,1306.086619,-1.91E-05,Inf,CRF2633,M1,couchii,T,100,-119.247356,36.934489,NA,19.9,NA,,22-Jun-15,6-Apr-15,77
4,CRF2633_M3,3.01E-29,2034.109109,-1.23E-05,Inf,CRF2633,M3,couchii,T,100,-119.247356,36.934489,NA,8.5,NA,,22-Jun-15,6-Apr-15,77
5,CRF2669_M1,0.023158587,-51458.58493,4.86E-07,Inf,CRF2669,M1,couchii,T,82.5,-120.658378,39.442691,NA,39.5,19.9,,21-Oct-15,30-May-15,144
6,CRF2670_M1,1.31E-23,71.15336614,-0.0003037,1.04E+45,CRF2670,M1,couchii,T,82,-120.658378,39.442691,NA,12.3,7.2,,9-Nov-15,30-May-15,163
7,CRF2671_M1,7.77E-28,169.7270363,-0.000142067,7.10E+134,CRF2671,M1,couchii,T,17,-120.658378,39.442691,NA,170,50.9,,10-Dec-15,30-May-15,194
8,CRF2672_M1,57352821.07,8207657.083,-3.05E-09,Inf,CRF2672,M1,couchii,T,32,-120.658378,39.442691,NA,40,10.8,,19-Oct-15,30-May-15,142
9,CRF2673_M1,44484.54883,4.702995781,-0.002614059,1367753029,CRF2673,M1,couchii,T,21.8,-120.658378,39.442691,NA,59.5,22.4,,2-Nov-15,30-May-15,156
10,CRF2674_M1,117540654.1,12414715.3,-2.01E-09,Inf,CRF2674,M1,couchii,T,21.9,-120.658378,39.442691,NA,26.6,5,,28-Sep-15,30-May-15,121
11,CRF2675_M1,0.040129592,-150272.7393,1.66E-07,Inf,CRF2675,M1,couchii,T,33.7,-120.658378,39.442691,NA,11.1,4.7,,7-Oct-15,30-May-15,130
12,CRF2676_M1,2.23E-35,665.161989,-3.74E-05,Inf,CRF2676,M1,couchii,T,21.3,-120.658378,39.442691,NA,56.2,20.6,,14-Dec-15,30-May-15,198
13,CRF2678_M1,8.72E+21,165.2695146,-0.000148094,4.44E+179,CRF2678,M1,couchii,T,36.5,-120.658378,39.442691,NA,62.8,15.8,,14-Oct-15,30-May-15,137
14,CRF2679_M1,1.98E-33,486.1995354,-5.11E-05,Inf,CRF2679,M1,couchii,T,35.7,-120.658378,39.442691,NA,16,11.4,,4-Nov-15,30-May-15,158
15,CRF2680_M1,0.007196354,-27554.93226,9.07E-07,Inf,CRF2680,M1,couchii,T,40.8,-120.658378,39.442691,NA,84,7.9,,26-Oct-15,30-May-15,149
16,CRF2681_M1,1.73E-29,450.6568982,-5.52E-05,Inf,CRF2681,M1,couchii,WT,20.6,-120.658378,39.442691,NA,46.3,18.2,,28-Oct-15,30-May-15,151
17,CRF3051_M1,3.81E-26,-51.05032241,0.000350041,1.98E+23,CRF3051,M1,couchii,T,3.3,-120.77225,40.39627,NA,70.1,32.3,,9-Oct-16,16-Jul-16,85
18,CRF3051_M2,5.27E-29,525.7997728,-4.74E-05,Inf,CRF3051,M2,couchii,T,3.3,-120.77225,40.39627,NA,62.8,32.3,,9-Oct-16,16-Jul-16,85
19,CRF3052_M1,8.35E-27,-156.162113,0.000153876,8.67E+122,CRF3052,M1,couchii,T,3.3,-120.77225,40.39627,NA,40.7,9.9,,18-Oct-16,16-Jul-16,94
20,CRF3055_M1,2009716.025,-4604752.267,5.43E-09,Inf,CRF3055,M1,couchii,T,3.35,-120.77225,40.39627,NA,9.3,5.1,,4-Oct-16,16-Jul-16,80
21,CRF3056_M1,1.60E-30,349.1986788,-7.09E-05,2.66E+303,CRF3056,M1,couchii,T,5,-120.77225,40.39627,NA,25.2,19.8,,19-Oct-16,16-Jul-16,95
22,CRF3058_M1,67.76147957,-0.616434001,0.008987265,245.0604118,CRF3058,M1,couchii,T,2.41,-120.80296,40.36777,470,70.9,41,,25-Feb-17,17-Jul-16,223
23,CRF3059_M1,4.35E-21,-224.202043,0.000110176,3.82E+193,CRF3059,M1,couchii,T,0.1,-120.80296,40.36777,540,99.9,71,,27-Apr-17,17-Jul-16,284
24,CRF3060_M1,4.39E-25,-62.1381078,0.000325127,8.66E+34,CRF3060,M1,couchii,T,3.14,-120.80296,40.36777,NA,67.4,24.3,,28-Oct-16,17-Jul-16,103
25,CRF3061_M1,0.002756634,-63915.76981,3.91E-07,Inf,CRF3061,M1,couchii,T,3.76,-120.80296,40.36777,720,220.9,133,,23-Mar-17,17-Jul-16,249
26,CRF3064_M1,2.93E-26,-82.76061274,0.000264391,2.76E+53,CRF3064,M1,couchii,T,69,-119.90284,38.04029,NA,103.5,48.8,F,16-Nov-16,23-Jul-16,116
27,CRF3065_M1,1.72E+22,73.65434767,-0.00030461,3.31E+92,CRF3065,M1,couchii,T,85.3,-119.90284,38.04029,NA,99,59.4,,9-Nov-16,23-Jul-16,109
28,CRF3069_M1,1.40E+22,123.4458877,-0.000194842,8.75E+139,CRF3069,M1,couchii,T,37.8,-119.902411,38.04301,500,64.9,48,,28-Feb-17,23-Jul-16,220
29,CRF3069_M3,5.62E+21,53.79295035,-0.000383919,1.21E+73,CRF3069,M3,couchii,T,37.8,-119.902411,38.04301,500,100.5,48,,28-Feb-17,23-Jul-16,220
30,CRF3070_M1,2.44E-29,2841.330853,-8.80E-06,Inf,CRF3070,M1,couchii,T,58.8,-119.902411,38.04301,490,56.6,42,,13-Apr-17,23-Jul-16,264
31,CRF3074_M1,9.36E-20,-166.8268273,0.000147029,1.46E+140,CRF3074,M1,couchii,T,21.9,-119.902411,38.04301,NA,33.1,25.8,,29-Nov-16,23-Jul-16,129
32,EJE182_M1,1.17E+22,44.01101836,-0.000425237,1.17E+64,EJE182,M1,couchii,T,47.5,-119.919969,37.817948,770,238.9,190,,16-Apr-17,10-Sep-16,218
33,EJE186_M1,1.24E+22,169.5467915,-0.000144467,7.65E+183,EJE186,M1,couchii,T,137.6,-119.918561,37.821434,370,62.8,30,,25-Feb-17,10-Sep-16,168
