"","Dose","CRF2630_M1","CRF2631_M1","CRF2633_M1","CRF2633_M3","CRF2669_M1","CRF2670_M1","CRF2671_M1","CRF2672_M1","CRF2673_M1","CRF2674_M1","CRF2675_M1","CRF2676_M1","CRF2678_M1","CRF2679_M1","CRF2680_M1","CRF2681_M1","CRF3051_M1","CRF3051_M2","CRF3052_M1","CRF3055_M1","CRF3056_M1","CRF3058_M1","CRF3059_M1","CRF3060_M1","CRF3061_M1","CRF3064_M1","CRF3065_M1","CRF3069_M1","CRF3069_M3","CRF3070_M1","EJE182_M1","EJE186_M1"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",10,0.0150643446354412,0.016083680175132,0.0507903517649902,0.128438449980424,0.0793100239836095,0.0186332355672204,0.0467086217057452,0.01938419338228,0.0226052330958354,0.0421905057717461,0.0313077540261243,0.054601505104857,0.0140652776202787,0.022153923113541,0.071382283050502,0.028978416949575,0.0140396705417404,0.0658509586122158,0.0226535074759035,0.102722461548338,0.0550255494681652,0.0568100059306906,0.0186236914078138,0.0463914618824879,0.0865525025791337,0.0136696808273706,0.0626688187784997,0.0972269956468459,0.0687205896914209,0.0189212820709356,0.0266811734736662,0.0185134530785196
"3",20,0.0142596628017875,0.0155480451848591,0.058936661083815,0.126484115524966,0.0864891536532611,0.0147448798825288,0.0323255417763791,0.0234243610508935,0.0232146715500297,0.0420141505966105,0.0287837845135274,0.0435546129475231,0.0148481047641546,0.0213517626652515,0.0547652523363648,0.0308807672109044,0.518897065398428,0.0586856527529937,0.0656225699270973,0.069886714203052,0.0556641866654745,0.0588727138974939,0.0726802424005061,0.423069781242084,0.0854526406815514,0.182727141945948,0.317103017567633,0.168209011981708,0.0934706323891675,0.0174219184781267,0.0353400878686347,0.0580764934545476
"4",30,0.0165881846120646,0.118366344634242,0.0555770458428826,0.117336937955077,0.157634268221638,0.0154798980292821,0.0534028163168905,0.0765512138185792,0.0253396355075718,0.0434527810441447,0.0330043617786316,0.049498735922617,0.208744941577897,0.022596064531849,0.0554293387125519,0.0592919340430128,0.421282973298165,0.0624064527000625,0.093766466641379,0.0882821621178782,0.0520075804295423,0.0967390195366984,0.396779842576479,0.702919954048216,0.0850747763124971,0.206829616100061,0.25209354081578,0.244238016961988,0.47979011028795,0.0186438903466994,0.534930071588194,0.253729798768804
"5",40,0.0142925335381945,0.219460796163642,0.233298237754367,0.130396884738675,0.0916402208760684,0.0310518624431012,0.0423023551030524,0.0714532670523478,0.0168534531753024,0.0431159950304596,0.0885288563030287,0.0379252815998557,0.0597565786257522,0.0260093596054458,0.0544723427149878,0.0302904094359813,0.846389935303935,0.0554675535166678,0.690831274406241,0.0729801687353106,0.0748833270401337,0.242437475422177,0.559596350401399,0.683095978986987,0.0891456503176975,0.906033108853882,0.47233419264889,0.371792295009812,0.695577608836394,0.0865177755099215,0.621909512459537,0.446542332556695
"6",50,0.143971978555063,0.507993597895514,0.128869832288131,0.129561347547026,0.426010288689201,0.0174156654420859,0.0881830341260173,0.362733916282898,0.0543340852947147,0.185216315802985,0.18090779808447,0.128645310223586,0.466568525033929,0.213965867267623,0.0919901606398989,0.19149604423481,0.80782731472795,0.140096906228729,0.572553786673123,0.247347278599777,0.0820898135936315,0.396216132143424,0.638517330687806,0.792880182288209,0.128815628808811,0.79477104660667,0.573009023714738,0.468087954827092,0.731773203400438,0.142785476213094,0.743582052744909,0.541962426945029
"7",60,0.182202511209643,0.35464492402295,0.277714262824594,0.221933308042438,0.394640073794236,0.0385233579261441,0.163954825139431,0.34171022412008,0.028236104237589,0.160860394045746,0.49758459131154,0.195647869185412,0.539363526824493,0.0498978655629192,0.244252952160066,0.04027565335503,0.875297843602101,0.197249480695189,0.830918532759454,0.162162719310642,0.161205678994979,0.471473773171849,0.662814972659571,0.790674212795198,0.33477947551412,0.926552454994987,0.735674003491357,0.530510442559745,0.768866984657259,0.211945454769183,0.755761255959228,0.568889659502569
"8",70,0.3484942846542,0.588945505810494,0.140530906479232,0.194977909945321,0.590740847408383,0.0201927234786607,0.291946832012198,0.500798822600062,0.0350017122860738,0.479767236120318,0.332491656240969,0.413007802087129,0.563068724452302,0.505645507557814,0.278421450325834,0.487908920191755,0.863214568343207,0.64843961025626,0.765397200055736,0.422962350196914,0.23792182336491,0.558824514226521,0.785571477764173,0.809700343493411,0.524993862550301,0.908726762754185,0.736029190504209,0.60541451819704,0.808488954933471,0.315057139325606,0.812195441548102,0.605529116196541
"9",80,0.530153625919673,0.473468182685973,0.49197645901378,0.352957368262459,0.555441703294989,0.171123097297255,0.201229871081446,0.521425795260759,0.088189689639864,0.628458574877291,0.719019099081262,0.323945755081975,0.765003494098005,0.188194263978146,0.943651562724686,0.175590412089966,0.891547405660954,0.561882749397663,0.851596399507008,0.443696119821568,0.190597022959815,0.586579659629026,0.864286245581762,0.795155373260486,0.689310610617711,0.940775772008957,0.795883207576875,0.633986364934915,0.804392163900382,0.632558571379167,0.850268666974595,0.629216031564471
"10",90,0.46624563647034,0.680989019250926,0.533076189216928,0.633828071881906,0.729191714609117,0.103480856400527,0.29092558882091,0.634749498589221,0.0946859654775816,0.707766678507184,0.598264526469005,0.624894005991084,0.746889244603656,0.658587064341237,0.852742577171096,0.576495893658723,0.900692897143758,0.705369744869497,0.83813434888064,0.646158296048417,0.53903711279166,0.628957678351714,0.873188937182392,0.820465930008607,0.768091104136498,0.948393541950926,0.866453410015229,0.64517791635802,0.804671009907271,0.680314588840948,0.880401730943283,0.642234513851979
"11",100,0.684052417429586,0.604389979040652,0.576338792734591,0.573323056681465,0.713676114199395,0.278345821607882,0.415619186303036,0.676550272132405,0.198471347109801,0.741374943063576,0.797542813509217,0.528619121838658,0.825563918684103,0.460110821780448,0.982228025949655,0.474193232257355,0.912620856455395,0.617727293215337,0.866835626429601,0.581315353031363,0.376879949584506,0.640804265814884,0.880778224542778,0.836329436922694,0.758549845392909,0.953295609518114,0.800571369092831,0.654801773001204,0.846516015892768,0.703417666769174,0.891674384824328,0.655004741680135
"12",200,0.948426266115222,0.706052250371731,0.925661227119519,0.925183606509056,0.780736248732186,0.365449704027532,0.513161628033151,0.721608903207324,0.487548841417547,0.949122270045934,0.692376882782373,0.694863285374157,0.828929353001887,0.783041600088516,0.947950534784974,0.695751829529572,0.929514938452861,0.581808653244474,0.862658446823121,0.776450170241978,0.745705715230024,0.746154684302384,0.892919518388506,0.818234144988976,0.83429238143673,0.962521827721542,0.87120993417711,0.661390988886869,0.822341758609258,0.827352090373425,0.901787009799622,0.670515053121335
"13",300,0.975855869408335,0.875419040370668,0.936588934608916,0.964603879872324,0.810595474201055,0.74994030656338,0.594919835253561,0.87419520961197,0.868181826055209,0.959201947104796,0.947399478122909,0.781739811425658,0.911523391484186,0.905001989401859,0.973852387509626,0.826084059084474,0.938833889583147,0.688215264024317,0.904368679578001,0.96439342870682,0.939192728109555,0.951309012266261,0.936043481688349,0.882682453226108,0.907087103466515,0.991226387392268,0.89080619695821,0.787525790293334,0.920455915917839,0.911722266525764,0.940799895676808,0.706263733186225
"14",400,0.979976604457234,0.948043151833159,0.975733595697302,0.932835698610921,0.899101063365577,0.911400147357699,0.79485747229867,0.950273646790792,0.996097275982364,0.990365229982284,0.978368936231342,0.88762085476323,0.932111145068801,0.973408280519415,0.969716441029816,0.991264854844555,0.947220816813283,0.833758259852642,0.903306994770636,0.972457263793692,1,0.990954590464842,0.980689824372536,0.856571036564937,0.943437693068739,0.992401980722727,0.928554016638173,0.900986449252741,0.938679278987645,0.968685939908265,0.976114101134533,0.79500352748284
"15",500,0.989049437160329,0.960871993070789,0.990984650207444,0.982152100500954,0.924289639419166,0.964382297951466,0.979999153602615,0.976439219628024,0.967671926088106,0.981579249779507,0.959166239432178,0.919412013474769,1,1,1,1,0.97858804656486,0.965858300481508,1,0.985276300664896,0.977092553186274,1,0.993627171600736,1,0.959614445250184,0.99861307762234,0.963180368063828,0.951187076138878,1,0.990888837643975,1,0.954758666979835
"16",600,1,1,1,1,1,1,1,1,1,1,1,1,0.999940682994338,0.964415933852296,0.998327357308512,0.989274665598904,1,1,0.947945096855994,1,0.976804608359845,0.955984884019373,1,0.889800076259345,1,1,1,1,0.998188834802923,1,0.992218484379796,1
