,species,INDIV,CollPreNo,locality,region,County,sex,age,mass_g,SVL_cm,TL_cm,baseline_ms,MAMU
224,Thamnophis couchii,10,NA,NA,NA,NA,NA,NA,7.2,24.3,34,1.202,NA
225,Thamnophis couchii,11,NA,NA,NA,NA,NA,NA,7.5,22.2,30.1,1.463,63.5
228,Thamnophis couchii,12,NA,NA,NA,NA,NA,NA,5.1,22.8,31.4,1.084,36.5
230,Thamnophis couchii,12.021,CRF2336,N Fork Mokelumne River,NA,NA,NA,NA,4.9,NA,NA,1.067,NA
231,Thamnophis couchii,12.022,CRF2337,N Fork Mokelumne River,NA,NA,NA,NA,5.1,NA,NA,1.042,NA
247,Thamnophis couchii,15.28,CRF2675,Canyon Creek,NA,Nevada,NA,NA,4.7,NA,NA,1.007,33.7
254,Thamnophis couchii,15.35,CRF2630,Deep Creek,NA,Fresno,NA,NA,6.8,NA,NA,1.049,NA
274,Thamnophis couchii,16.126,EJE167,Canyon Creek,NA,Nevada,NA,NA,7.7,NA,NA,1.09,4.08
278,Thamnophis couchii,16.132,EJE173,Canyon Creek,NA,Nevada,NA,NA,7.9,NA,NA,1.118,4.5
285,Thamnophis couchii,16.14,EJE181,S Fork Tuolumne River,NA,Tuolumne,NA,NA,6.9,NA,NA,1.012,NA
288,Thamnophis couchii,16.147,EJE188,S Fork Tuolumne River,NA,Tuolumne,NA,NA,5.1,NA,NA,1.187,NA
296,Thamnophis couchii,16.74,CRF3057,Willard Creek,NA,Lassen,NA,NA,5.1,NA,NA,1.023,3.32
303,Thamnophis couchii,16.81,EJE139,Sawmill Lk.,NA,Nevada,NA,NA,4.4,NA,NA,1.488,44.1
312,Thamnophis couchii,16.91,EJE149,Bowman Lk.,NA,Nevada,NA,NA,4.1,NA,NA,1.088,6.4
343,Thamnophis couchii,4.2,EDBjr21394,Keleher,NA,Nevada,NA,NA,8.3,26.1,NA,1.019,4.54
344,Thamnophis couchii,4.21,EDBjr21395,Keleher,NA,Nevada,NA,NA,6,25.3,NA,1.134,5.2
345,Thamnophis couchii,4.22,EDBjr21396,Keleher,NA,Nevada,NA,NA,5.4,26.1,NA,1.079,4.42
349,Thamnophis couchii,4.39,EDBjr21367,N Battle Creek,NA,Shasta,NA,NA,5.3,22.6,NA,1.031,3.2
361,Thamnophis couchii,4.56,EDBjr21420,Grizzly Flat,NA,El Dorado,NA,NA,5.6,22,NA,1.1,102
362,Thamnophis couchii,5.107,EDBjr21628,Dogtown Creek,NA,El Dorado,NA,NA,3.8,21.2,27.7,1.218,NA
363,Thamnophis couchii,5.108,EDBjr21629,Dogtown Creek,NA,El Dorado,NA,NA,8,27.8,36.3,1.295,NA
364,Thamnophis couchii,5.109,EDBjr21630,Dogtown Creek,NA,El Dorado,NA,NA,4.9,22,29.4,1.475,NA
376,Thamnophis couchii,5.15,EDBjr21956,Devil's Corral,NA,Lassen,NA,NA,5.4,26,NA,1.122,6.19
392,Thamnophis couchii,5.64,EDBjr21589,Deep Creek,NA,Fresno,NA,NA,6.6,24.2,33.1,1.061,NA
396,Thamnophis couchii,5.68,EDBjr21593,Deep Creek,NA,Fresno,NA,NA,5.3,25.2,33.9,1.136,NA
399,Thamnophis couchii,5.71,EDBjr21596,Deep Creek,NA,Fresno,NA,NA,3.9,19.3,25.6,1.342,NA
400,Thamnophis couchii,5.73,EDBjr21598,Deep Creek,NA,Fresno,NA,NA,10.8,33,41.1,1.142,NA
409,Thamnophis couchii,5.84,NA,Smith River,NA,NA,NA,NA,3.3,21,27.1,1.164,3.13
410,Thamnophis couchii,5.85,NA,Smith River,NA,NA,NA,NA,3.3,20.2,28.9,1.129,4.47
417,Thamnophis couchii,6.131,EDBjr22738,Leoni Meadows,NA,El Dorado,NA,NA,2.9,21.6,27.5,1.124,27.3
418,Thamnophis couchii,6.132,EDBjr22739,Leoni Meadows,NA,El Dorado,NA,NA,5.7,23.8,31.2,1.123,NA
435,Thamnophis couchii,7.06,NA,N Fork Kings River,NA,NA,NA,NA,7.5,29,38.4,1.032,NA
438,Thamnophis couchii,9,NA,NA,NA,NA,NA,NA,4.8,20.9,28.5,1.407,149.5
439,Thamnophis couchii,SE1,NA,NA,NA,Tulare,NA,NA,3.54,19.2,25.1,1.122,48.8
440,Thamnophis couchii,SE10,NA,NA,NA,Tulare,NA,NA,3.12,19.3,25.8,1.006,41.1
441,Thamnophis couchii,SE11,NA,NA,NA,Tulare,NA,NA,3.22,19.3,24.9,1.223,86
442,Thamnophis couchii,SE12,NA,NA,NA,Tulare,NA,NA,3.17,18.9,24.4,1.151,92.9
443,Thamnophis couchii,SE13,NA,NA,NA,Tulare,NA,NA,3.4,19.1,24.7,1.198,85.8
444,Thamnophis couchii,SE14,NA,NA,NA,Tulare,NA,NA,3.59,19.5,25.6,1.196,73.7
445,Thamnophis couchii,SE15,NA,NA,NA,Tulare,NA,NA,3.4,18.7,24.5,1.111,79.2
446,Thamnophis couchii,SE2,NA,NA,NA,Tulare,NA,NA,3.17,19.1,25.6,1.115,53.6
447,Thamnophis couchii,SE3,NA,NA,NA,Tulare,NA,NA,2.86,18.5,24.1,1.144,69.9
448,Thamnophis couchii,SE4,NA,NA,NA,Tulare,NA,NA,3.27,19,25.2,1.135,50.6
449,Thamnophis couchii,SE5,NA,NA,NA,Tulare,NA,NA,3.42,19.7,25.7,1.176,60.7
450,Thamnophis couchii,SE6,NA,NA,NA,Tulare,NA,NA,3.12,18.9,24.7,1.118,65
451,Thamnophis couchii,SE7,NA,NA,NA,Tulare,NA,NA,3.1,19.7,25.4,1.173,77.1
452,Thamnophis couchii,SE8,NA,NA,NA,Tulare,NA,NA,3.58,19.9,25.9,1.049,NA
453,Thamnophis couchii,SE9,NA,NA,NA,Tulare,NA,NA,3.24,19.4,25.9,1.126,57.7
454,Thamnophis couchii,SS1,NA,NA,NA,Tulare,NA,NA,4.03,20.2,26.5,1.447,NA
455,Thamnophis couchii,SS2,NA,NA,NA,Tulare,NA,NA,3.91,20.4,26.4,1.309,NA
456,Thamnophis couchii,SS3,NA,NA,NA,Tulare,NA,NA,2.5,17.8,23.4,1.487,85.3
457,Thamnophis couchii,SS4,NA,NA,NA,Tulare,NA,NA,3.61,19.2,25.5,1.346,NA
458,Thamnophis couchii,SS5,NA,NA,NA,Tulare,NA,NA,3.69,20.3,26.9,1.348,NA
459,Thamnophis couchii,SS6,NA,NA,NA,Tulare,NA,NA,3.84,20.7,26.4,1.5,NA
460,Thamnophis couchii,SS7,NA,NA,NA,Tulare,NA,NA,2.85,18.7,25,1.432,80.2
461,Thamnophis couchii,SS8,NA,NA,NA,Tulare,NA,NA,3.32,20.1,25.8,1.441,NA
462,Thamnophis couchii,SS9,NA,NA,NA,Tulare,NA,NA,3.51,20.3,26.2,1.451,NA
463,Thamnophis couchii,SZ1,NA,NA,NA,Tulare,NA,NA,3.74,19.3,26.2,1.175,93.7
464,Thamnophis couchii,SZ10,NA,NA,NA,Tulare,NA,NA,3.45,19.3,26,1.35,86.4
465,Thamnophis couchii,SZ11,NA,NA,NA,Tulare,NA,NA,3.25,19,24.8,1.122,59
466,Thamnophis couchii,SZ12,NA,NA,NA,Tulare,NA,NA,3.4,18.7,25.2,1.334,84.7
467,Thamnophis couchii,SZ2,NA,NA,NA,Tulare,NA,NA,3.2,17.5,23.2,1.469,84.2
468,Thamnophis couchii,SZ3,NA,NA,NA,Tulare,NA,NA,2.98,18.7,24.3,1.396,NA
469,Thamnophis couchii,SZ4,NA,NA,NA,Tulare,NA,NA,3.17,18.6,25.3,1.358,64
470,Thamnophis couchii,SZ5,NA,NA,NA,Tulare,NA,NA,3.25,18.8,24.8,1.213,NA
471,Thamnophis couchii,SZ6,NA,NA,NA,Tulare,NA,NA,3.52,18.9,25.5,1.304,NA
472,Thamnophis couchii,SZ7,NA,NA,NA,Tulare,NA,NA,3.49,19.3,26,1.263,75.9
473,Thamnophis couchii,SZ8,NA,NA,NA,Tulare,NA,NA,3.63,19.5,26.1,1.199,57.4
474,Thamnophis couchii,SZ9,NA,NA,NA,Tulare,NA,NA,3.65,19.2,25.8,1.397,81.8
475,Thamnophis couchii,TT1,NA,NA,NA,NA,NA,NA,4.05,20.9,27.2,1.016,NA
477,Thamnophis couchii,TT3,NA,NA,NA,NA,NA,NA,5.1,22.8,30.3,1.006,82.5
479,Thamnophis couchii,TT5,NA,NA,NA,NA,NA,NA,5.29,22.1,29.4,1.006,NA
480,Thamnophis couchii,TT6,NA,NA,NA,NA,NA,NA,4.93,21.4,28.9,1.014,NA
481,Thamnophis couchii,TT7,NA,NA,NA,NA,NA,NA,4.21,19.8,26.5,1.021,73.6
482,Thamnophis couchii,UC1,NA,NA,NA,Lassen,NA,NA,6.08,22.7,29.5,1.147,4.98
483,Thamnophis couchii,UC10,NA,NA,NA,Lassen,NA,NA,7.3,22.2,29.4,1.214,5.12
484,Thamnophis couchii,UC2,NA,NA,NA,Lassen,NA,NA,5.11,22.1,29.6,1.115,1.53
485,Thamnophis couchii,UC3,NA,NA,NA,Lassen,NA,NA,6.24,21.3,28.9,1.389,3.45
486,Thamnophis couchii,UC4,NA,NA,NA,Lassen,NA,NA,6.19,23.4,31.1,1.178,3.92
487,Thamnophis couchii,UC5,NA,NA,NA,Lassen,NA,NA,6.99,22.5,29.8,1.401,NA
488,Thamnophis couchii,UC6,NA,NA,NA,Lassen,NA,NA,6.92,22.8,29.7,1.408,3.34
489,Thamnophis couchii,UC7,NA,NA,NA,Lassen,NA,NA,6.12,22.6,30.5,1.315,NA
490,Thamnophis couchii,UC8,NA,NA,NA,Lassen,NA,NA,5.98,21.3,28.3,1.379,4.48
491,Thamnophis couchii,UC9,NA,NA,NA,Lassen,NA,NA,6.85,23.5,23.1,1.109,NA
492,Thamnophis couchii,UG1,NA,NA,NA,NA,NA,NA,3.91,19.6,26.3,1.17,77.3
493,Thamnophis couchii,UG10,NA,NA,NA,NA,NA,NA,3.75,18.6,25.2,1.094,NA
494,Thamnophis couchii,UG11,NA,NA,NA,NA,NA,NA,3.66,18.8,24.5,1.156,61.3
495,Thamnophis couchii,UG12,NA,NA,NA,NA,NA,NA,3.22,17.7,23.7,1.11,NA
497,Thamnophis couchii,UG2,NA,NA,NA,NA,NA,NA,3.89,19,25.4,1.119,64.9
498,Thamnophis couchii,UG3,NA,NA,NA,NA,NA,NA,3.46,18.5,24.8,1.089,NA
499,Thamnophis couchii,UG4,NA,NA,NA,NA,NA,NA,3.72,19.5,25.9,1.066,67.7
500,Thamnophis couchii,UG5,NA,NA,NA,NA,NA,NA,3.7,19.1,25.6,1.111,54.2
501,Thamnophis couchii,UG6,NA,NA,NA,NA,NA,NA,3.23,18.5,24.5,1.092,64.5
502,Thamnophis couchii,UG7,NA,NA,NA,NA,NA,NA,3.05,18.3,23.6,1.234,70.6
503,Thamnophis couchii,UG8,NA,NA,NA,NA,NA,NA,3.52,18.2,24,1.24,61
504,Thamnophis couchii,UG9,NA,NA,NA,NA,NA,NA,3.76,19.3,25.9,1.045,76
505,Thamnophis couchii,UM1,NA,NA,NA,NA,NA,NA,4.15,19.3,25.8,1.245,112.4
506,Thamnophis couchii,UM10,NA,NA,NA,NA,NA,NA,4.23,20.5,27.7,1.045,86.9
507,Thamnophis couchii,UM11,NA,NA,NA,NA,NA,NA,4.36,20.7,28,1.051,90.8
509,Thamnophis couchii,UM2,NA,NA,NA,NA,NA,NA,4.66,20.6,27.4,1.113,113.4
510,Thamnophis couchii,UM3,NA,NA,NA,NA,NA,NA,4.39,20.3,26.8,1.121,147.4
511,Thamnophis couchii,UM4,NA,NA,NA,NA,NA,NA,4.24,20.4,27.6,1.227,121
512,Thamnophis couchii,UM5,NA,NA,NA,NA,NA,NA,3.46,19.5,26.2,1.234,97.1
515,Thamnophis couchii,UM8,NA,NA,NA,NA,NA,NA,4.44,20.6,27.4,1.188,107.6
516,Thamnophis couchii,UM9,NA,NA,NA,NA,NA,NA,4.39,20.5,27.2,1.041,100
517,Thamnophis couchii,VC1,EDBjr21489,Wishon,NA,Tulare,NA,NA,5.6,18.6,25.4,1.324,40.7
518,Thamnophis couchii,VC10,EDBjr21498,Wishon,NA,Tulare,NA,NA,4.4,18,24.7,1.415,98.6
519,Thamnophis couchii,VC11,EDBjr21499,Wishon,NA,Tulare,NA,NA,5.4,18.8,25.9,1.486,NA
520,Thamnophis couchii,VC12,EDBjr21500,Wishon,NA,Tulare,NA,NA,4.3,18.2,25.2,1.301,86
521,Thamnophis couchii,VC2,EDBjr21490,Wishon,NA,Tulare,NA,NA,4.8,19.3,26.4,1.531,74.5
522,Thamnophis couchii,VC3,EDBjr21491,Wishon,NA,Tulare,NA,NA,4.5,18.8,26,1.383,45.8
523,Thamnophis couchii,VC4,EDBjr21492,Wishon,NA,Tulare,NA,NA,5,19.1,25.9,1.442,NA
524,Thamnophis couchii,VC5,EDBjr21493,Wishon,NA,Tulare,NA,NA,4.8,18.5,25.8,1.638,NA
525,Thamnophis couchii,VC7,EDBjr21495,Wishon,NA,Tulare,NA,NA,4.9,18.7,25.5,1.417,74
526,Thamnophis couchii,VC8,EDBjr21496,Wishon,NA,Tulare,NA,NA,5.5,18.8,26,1.412,69
527,Thamnophis couchii,VC9,EDBjr21497,Wishon,NA,Tulare,NA,NA,4.3,18.8,25.8,1.242,63.2
538,Thamnophis couchii,ZB03,NA,Dogtown Creek,NA,El Dorado,NA,NA,5.45,23.7,30.9,1.016,NA
